id,web_name,first_name,second_name,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,form,selected_by_percent,transfers_in,transfers_out,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,status,news,chance_of_playing_next_round,price_M,position,pts_per_million,team_name,team_short
590,Bryan,Bryan,Gil Salvatierra,18,3,49,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,675,4487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Girona permanently.,0.0,4.9,MID,0.0,Spurs,TOT
591,Gray,Archie,Gray,18,3,48,53,2.8,1197,2,2,5,23,5,0,6,204,5.2,0.2,21117,23854,1.3,1.25,2.55,20.42,233.4,110.9,134.0,47.8,a,,100.0,4.8,MID,11.041666666666668,Spurs,TOT
592,Moore,Mikey,Moore,18,3,50,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,Has joined Rangers on loan for the rest of the season.,0.0,5.0,MID,0.0,Spurs,TOT
593,P.M.Sarr,Pape Matar,Sarr,18,3,45,59,3.0,1140,2,3,3,18,2,0,2,250,3.5,1.1,391515,574039,1.41,0.97,2.38,22.77,280.6,115.2,142.0,54.0,a,,100.0,4.5,MID,13.11111111111111,Spurs,TOT
594,Min-hyeok,Yang,Min-hyeok,18,3,45,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Coventry City on loan for the rest of the season.,0.0,4.5,MID,0.0,Spurs,TOT
595,Olusesi,Callum,Olusesi,18,3,43,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,24648,30229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,4.3,MID,0.0,Spurs,TOT
596,Solanke,Dominic,Solanke-Mitchell,18,4,72,31,3.1,598,3,0,0,14,1,0,4,142,3.0,1.2,137110,516754,2.17,0.19,2.35,12.34,158.8,62.2,212.0,43.2,a,,100.0,7.2,FWD,4.305555555555555,Spurs,TOT
597,Richarlison,Richarlison,de Andrade,18,4,63,82,3.4,1346,8,3,5,20,5,0,10,373,1.8,5.4,2956027,3047421,5.32,1.24,6.56,19.27,423.2,173.0,533.0,112.7,a,,100.0,6.3,FWD,13.015873015873016,Spurs,TOT
598,Lankshear,Will,Lankshear,18,4,45,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Oxford United on loan for the rest of the season.,0.0,4.5,FWD,0.0,Spurs,TOT
599,Scarlett,Dane,Scarlett,18,4,43,2,1.0,7,0,0,0,0,0,0,0,5,0.0,0.5,60820,109917,0.0,0.01,0.01,0.03,1.0,4.1,2.0,0.7,u,has joined Hibernian on loan for the rest of the season.,0.0,4.3,FWD,0.46511627906976744,Spurs,TOT
